"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Membrane Attack Complex (GO:0005579)","5/6",3.19390110386657e-06,6.79429871186162e-05,0,0,84.2589285714286,1066.23501902579,"C6;C7;C9;C8B;C8A","CC","Down",0.833333333333333,6.79429871186162e-05,5
"Endopeptidase Complex (GO:1905369)","7/14",4.23216341751437e-06,8.25271866415302e-05,0,0,16.8765652951699,208.810320663892,"FCN1;COLEC11;FCN2;THBD;COLEC10;FCN3;MBL2","CC","Down",0.5,8.25271866415302e-05,7
"Peroxisome (GO:0005777)","21/129",1.02990019570098e-05,0.000185382035226177,0,0,3.30537942834138,37.9572042332018,"AOC1;EPHX2;PLAAT3;PTGR3;FABP1;GRHPR;HMGCL;RIDA;SCP2;ACOX2;EHHADH;CAT;ACOT2;HAO1;MLYCD;ACAA1;ACAD11;PEX11G;AGXT;SLC27A2;HAO2","CC","Down",0.162790697674419,0.000185382035226177,21
"High-Density Lipoprotein Particle (GO:0034364)","7/18",3.21542442854449e-05,0.000537435225913864,0,0,10.7373556675882,111.077580394448,"CETP;APOH;PON1;APOC3;LCAT;APOL1;APOA5","CC","Down",0.388888888888889,0.000537435225913864,7
"Endoplasmic Reticulum Lumen (GO:0005788)","32/284",0.000147177053831391,0.00229596203976971,0,0,2.1636096951742,19.0914198722267,"SERPINA1;MTTP;SERPINA10;PROZ;CFP;PTGS2;THBS1;LIPC;ADAMTS13;EVA1A;SPP2;APOL1;FGF23;IGFBP1;FGA;IGFBP4;COL25A1;IGFBP3;FGG;P3H2;WNT7A;APOA1;CP;APOA5;RCAN1;F8;IL6;F9;ALB;SERPING1;RDH5;SLC27A2","CC","Down",0.112676056338028,0.00229596203976971,32
"Platelet Dense Granule (GO:0042827)","6/20",0.000612090515517879,0.00895182378944897,0,0,7.2236690923018,53.4452576390443,"SELP;ECM1;APOH;CDC37L1;SPP2;SERPINA4","CC","Down",0.3,0.00895182378944897,6
"Endocytic Vesicle Lumen (GO:0071682)","6/21",0.000816437896031025,0.0112380275100741,0,0,6.74173369079535,47.9374999549294,"HPX;HP;SAA1;HBB;HBA1;MPO","CC","Down",0.285714285714286,0.0112380275100741,6
"Basolateral Plasma Membrane (GO:0016323)","20/171",0.00154324871159632,0.0200622332507521,0,0,2.24434389140271,14.5295805595069,"CD81;SLC10A1;SLC31A1;LRRK2;C5AR1;MTTP;SLC22A1;SLC4A10;AQP7;SLC4A1;ANK3;PTH1R;AQP3;SLC4A4;SLC39A14;SLC7A8;SLC39A5;TEK;PLPP3;LDLR","CC","Down",0.116959064327485,0.0200622332507521,20
"Arachidonic Acid Monooxygenase Activity (GO:0008391)","11/16",5.7229664926851e-11,3.94312391346003e-08,0,0,37.2657091561939,878.872574289848,"CYP2J2;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP4F2;CYP4A11;CYP4A22;CYP2E1;CYP2C19;CYP2C18","MF","Down",0.6875,3.94312391346003e-08,11
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016712)","13/25",1.45517106023622e-10,5.01306430251376e-08,0,0,18.3767236211031,416.246158515749,"CYP2J2;CYP4F2;CYP4A11;CYP2C19;CYP2C18;CYP8B1;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP1A2;HMOX1;CYP2E1","MF","Down",0.52,5.01306430251376e-08,13
"Arachidonic Acid Epoxygenase Activity (GO:0008392)","10/15",7.0686810794612e-10,1.62344042124959e-07,0,0,33.847533632287,713.173525293504,"CYP2J2;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP4F2;CYP4A11;CYP2E1;CYP2C19;CYP2C18","MF","Down",0.666666666666667,1.62344042124959e-07,10
"Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)","23/95",1.90496004385782e-09,3.2812936755451e-07,0,0,5.45055706795725,109.440671434802,"ADH1C;HPGD;ADH1B;DCXR;ADH1A;CYP4A22;AKR1D1;SORD;PTGR3;HSD17B13;HSD17B6;DHRS1;ADH6;ADH4;GRHPR;AKR7A3;BDH2;EHHADH;LDHD;RDH16;RDH5;PHGDH;CBR4","MF","Down",0.242105263157895,3.2812936755451e-07,23
"Heme Binding (GO:0020037)","20/87",5.48287673781131e-08,7.55540414470399e-06,0,0,5.08084014317553,84.9468246056223,"CYP2J2;STEAP4;PTGIS;AMBP;HBB;NRG1;HBA1;CYP2C19;PTGS2;CYP2C18;CYP26A1;CYP2C9;CYP2A6;CYP2C8;CYP2B6;TDO2;CAT;CYP1A2;HMOX1;CYP2E1","MF","Down",0.229885057471264,7.55540414470399e-06,20
"acyl-CoA Dehydrogenase Activity (GO:0003995)","7/10",1.80722291404134e-07,2.07529431295747e-05,0,0,39.3870005963029,611.534556153783,"GCDH;ACADL;IVD;ACADM;ACAD11;ACADS;ACADSB","MF","Down",0.7,2.07529431295747e-05,7
"Steroid Hydroxylase Activity (GO:0008395)","9/23",2.1770827255457e-06,0.000214287142557284,0,0,10.8646313364055,141.647900237474,"CYP39A1;CYP2C9;CYP2C8;CYP2B6;CYP3A43;CYP1A2;CYP2C19;CYP3A4;CYP8B1","MF","Down",0.391304347826087,0.000214287142557284,9
"Transition Metal Ion Binding (GO:0046914)","50/456",5.01320233791426e-06,0.000431762051352865,0,0,2.11582082712796,25.8202833274109,"CDA;DPYS;HHIP;MT1M;MT1X;DBH;MT2A;CA2;PIM1;DPF3;AOX1;ARG1;SORD;NRG1;RNF125;MT1A;RGN;MT1F;MT1G;ANG;MT1H;ZFPM2;S100A8;MT1E;ENPEP;C11ORF54;ADH1C;ADH1B;SHMT1;ADH1A;MEFV;CYP3A4;ADH6;ADH4;HMGCL;ADAMTS13;S100A12;PCK1;PCK2;EGR1;AOC1;SEC24B;GCH1;SLC31A1;PDE2A;BBOX1;KLF4;BHMT;CD4;ALB","MF","Down",0.109649122807018,0.000431762051352865,50
"Cytokine Activity (GO:0005125)","26/178",7.49687578023689e-06,0.000573927490287024,0,0,2.91412049231359,34.3896064131687,"BMP10;CXCL2;WNT11;CCL4;CCL3;TNFSF11;CCL2;ALKAL2;WNT2;IL10;IL33;CCL23;TSLP;GDF2;WNT7A;NRG1;INHBA;PPBP;GDF6;INHBC;BMP5;IL6;CXCL12;IL1B;SCGB3A1;PF4","MF","Down",0.146067415730337,0.000573927490287024,26
"C-acyltransferase Activity (GO:0016408)","6/11",1.13069921114973e-05,0.000779051756482162,0,0,20.2359249329759,230.488991097063,"ACAA2;ACSM3;SCP2;ACSM2A;ACSM5;ACAT1","MF","Down",0.545454545454545,0.000779051756482162,6
"Low-Density Lipoprotein Particle Binding (GO:0030169)","7/16",1.27684675162458e-05,0.000799770374426671,0,0,13.1248260783145,147.897521367486,"CRP;LIPC;STAB1;STAB2;SORL1;THBS1;LDLR","MF","Down",0.4375,0.000799770374426671,7
"Zinc Ion Binding (GO:0008270)","39/341",2.08551720946637e-05,0.00119743446443527,0,0,2.2085635359116,23.8036958796157,"CDA;ENPEP;C11ORF54;ADH1C;ADH1B;HHIP;SHMT1;DPYS;ADH1A;MT1M;MT1X;MEFV;ADH6;ADH4;MT2A;ADAMTS13;CA2;DPF3;S100A12;EGR1;AOC1;SEC24B;GCH1;PDE2A;SORD;BBOX1;NRG1;KLF4;BHMT;CD4;MT1A;RNF125;MT1F;RGN;MT1G;MT1H;ZFPM2;S100A8;MT1E","MF","Down",0.114369501466276,0.00119743446443527,39
"Serine-Type Endopeptidase Inhibitor Activity (GO:0004867)","12/53",2.94990706790029e-05,0.00156345074598715,0,0,4.95273157583328,51.6626948798943,"SERPINA11;SERPINA1;AMBP;SERPINA10;SERPINE1;SERPINF2;TFPI2;SERPING1;NRG1;SERPINB9;SERPINB8;SERPINA4","MF","Down",0.226415094339623,0.00156345074598715,12
"NAD-retinol Dehydrogenase Activity (GO:0004745)","7/19",4.84422236139592e-05,0.00236799172710315,0,0,9.84205426356589,97.7821745541277,"ADH4;ADH1C;ADH1B;RDH16;RDH5;HSD17B6;ADH6","MF","Down",0.368421052631579,0.00236799172710315,7
"Endopeptidase Inhibitor Activity (GO:0004866)","18/112",5.15527952199525e-05,0.00236799172710315,0,0,3.24874589171424,32.0745567170064,"SERPINA11;SERPINA1;AMBP;PROS1;SERPINE1;SERPINF2;TFPI2;PZP;SERPINA10;NRG1;SERPINB9;SERPINB8;THBS1;SERPINA4;FETUB;SERPING1;SPP2;LPA","MF","Down",0.160714285714286,0.00236799172710315,18
"Transaminase Activity (GO:0008483)","6/14",6.34781156928921e-05,0.00273352635702517,0,0,12.6454423592493,122.215865373457,"GOT1;AGXT2;PSAT1;GOT2;ABAT;AGXT","MF","Down",0.428571428571429,0.00273352635702517,6
"Alcohol Dehydrogenase Activity, Zinc-Dependent (GO:0004024)","4/6",0.000136319906572014,0.00521802309045098,0,0,33.671721677074,299.695366886165,"ADH4;ADH1C;ADH1B;ADH6","MF","Down",0.666666666666667,0.00521802309045098,4
"Oxidoreductase Activity, Acting On The CH-CH Group Of Donors, With A Flavin As Acceptor (GO:0052890)","4/6",0.000136319906572014,0.00521802309045098,0,0,33.671721677074,299.695366886165,"ACADM;ACAD11;ACADS;ACADSB","MF","Down",0.666666666666667,0.00521802309045098,4
"Lipoprotein Particle Binding (GO:0071813)","7/23",0.000193279824240594,0.00667812737746866,0,0,7.37997540250447,63.1089117156391,"CRP;LIPC;STAB1;STAB2;SORL1;THBS1;LDLR","MF","Down",0.304347826086957,0.00667812737746866,7
"MHC Class I Receptor Activity (GO:0032393)","5/11",0.000193849851305331,0.00667812737746866,0,0,14.0394345238095,120.015076387407,"KLRF1;LILRB1;LILRA1;LILRA2;LILRA4","MF","Down",0.454545454545455,0.00667812737746866,5
"Carboxylic Ester Hydrolase Activity (GO:0052689)","16/104",0.000223004505899548,0.00731667164594232,0,0,3.08008853184687,25.8983656330857,"PON3;BCHE;PNPLA7;PON1;LCAT;ABHD6;PLAAT3;LIPC;ALDH2;CA2;LIPG;NDST3;ASPG;RGN;PNPLA5;CES3","MF","Down",0.153846153846154,0.00731667164594232,16
"Cytokine Receptor Activity (GO:0004896)","13/76",0.000293984598679063,0.00852139932064092,0,0,3.49086445129611,28.3876509926741,"CCR1;FLT3;LIFR;IL1RAP;GHR;IL1RL1;CD4;CXCR1;IL1RAPL2;IL2RB;IL13RA2;IL6ST;IL18R1","MF","Down",0.171052631578947,0.00852139932064092,13
"Estrogen 16-Alpha-Hydroxylase Activity (GO:0101020)","4/7",0.000303871045422876,0.00852139932064092,0,0,22.4466250371692,181.793131765398,"CYP2C8;CYP1A2;CYP3A43;CYP3A4","MF","Down",0.571428571428571,0.00852139932064092,4
"CoA-ligase Activity (GO:0016405)","5/12",0.000316932858715997,0.00852139932064092,0,0,12.0331632653061,96.9490377835051,"ACSM3;ACSL1;ACSM2A;SLC27A2;SLC27A5","MF","Down",0.416666666666667,0.00852139932064092,5
"Acid-Thiol Ligase Activity (GO:0016878)","5/12",0.000316932858715997,0.00852139932064092,0,0,12.0331632653061,96.9490377835051,"ACSM3;ACSL1;ACSM2A;SLC27A2;SLC27A5","MF","Down",0.416666666666667,0.00852139932064092,5
"Protein Homodimerization Activity (GO:0042803)","59/662",0.000321562238514752,0.00852139932064092,0,0,1.67711785039779,13.4879174999903,"CDA;AMHR2;PANK1;LRRK2;SLC4A1;PTH1R;SYNE1;JCHAIN;GHR;NADK2;AOX1;MMUT;SOX6;PDGFRA;SERPINF2;SORD;APOA1;MTUS2;HOGA1;FOXP2;ANO1;ACOX2;HAND2;DPYD;CAT;TRIM58;RDH5;ANG;MASP1;AGXT;ABCG4;ATF3;CAMK2B;CSF1R;PON3;SHMT1;PON1;ADRB2;THBS1;CLTRN;HMOX1;KCNN2;GBP1;MCL1;AOC1;GSTM1;AMBP;MMAA;GCH1;EPHX2;PDE2A;LILRB1;NR0B2;GSTZ1;GLUD1;GRHPR;CD4;NR4A3;BHLHE40","MF","Down",0.0891238670694864,0.00852139932064092,59
"NAD Binding (GO:0051287)","7/26",0.000447122894187176,0.0114099138553691,0,0,6.21372752094906,47.9244737704856,"QDPR;GLUD1;BDH2;HPGD;ALDH1B1;ALDH2;SORD","MF","Down",0.269230769230769,0.0114099138553691,7
"Metal Ion Binding (GO:0046872)","48/521",0.000549437004565922,0.0133355117384263,0,0,1.73392145200139,13.0158832635032,"RET;CRP;APCS;ZNF330;COLEC11;C1R;LRRK2;NRXN1;PON1;ITLN1;TCHH;MT1X;ITIH1;THBS1;SLC8A1;HMGCL;ADAMTS13;ACVR1C;MAN1C1;S100A12;ANXA8;PCK1;HMGCLL1;PGM1;AOC1;EYA2;IGFBP3;EPHX2;PDE2A;NRG1;ANXA10;SYT9;SELP;RCAN1;ERN2;GJB2;F9;CPS1;PITPNM3;PLSCR4;RGN;ALPL;SIK1;PADI4;MASP1;DNASE1L3;FBP1;S100A8","MF","Down",0.0921305182341651,0.0133355117384263,48
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, NAD(P)H As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016709)","7/27",0.000574554736544214,0.0133355117384263,0,0,5.90272808586762,44.0456563567812,"CYP26A1;CYP4F2;AKR1D1;FMO2;FMO3;CYP2E1;KMO","MF","Down",0.259259259259259,0.0133355117384263,7
"Alcohol Dehydrogenase (NAD+) Activity (GO:0004022)","4/8",0.000580646374677486,0.0133355117384263,0,0,16.8340767172168,125.436911264178,"ADH4;ADH1C;ADH1B;ADH6","MF","Down",0.5,0.0133355117384263,4
"Transmembrane Receptor Protein Kinase Activity (GO:0019199)","8/37",0.000874880573089025,0.0189387154692992,0,0,4.65433890037971,32.773169768675,"RET;PDGFRA;LTK;FLT3;AXL;TEK;BMPR1B;EPHA2","MF","Down",0.216216216216216,0.0189387154692992,8
"Flavin Adenine Dinucleotide Binding (GO:0050660)","10/55",0.00087959201018516,0.0189387154692992,0,0,3.75286497259591,26.4053545327182,"GCDH;AOC1;STEAP4;ACOX2;DPYD;LDHD;SORD;ETFDH;AOX1;KMO","MF","Down",0.181818181818182,0.0189387154692992,10
"MAP Kinase Tyrosine Phosphatase Activity (GO:0033550)","4/9",0.000998657191058148,0.0191131890177518,0,0,13.4665477252453,93.0417112913167,"DUSP5;DUSP2;DUSP10;DUSP6","MF","Down",0.444444444444444,0.0191131890177518,4
"MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017)","4/9",0.000998657191058148,0.0191131890177518,0,0,13.4665477252453,93.0417112913167,"DUSP5;DUSP2;DUSP10;DUSP6","MF","Down",0.444444444444444,0.0191131890177518,4
"Inhibitory MHC Class I Receptor Activity (GO:0032396)","4/9",0.000998657191058148,0.0191131890177518,0,0,13.4665477252453,93.0417112913167,"LILRB1;LILRA1;LILRA2;LILRA4","MF","Down",0.444444444444444,0.0191131890177518,4
"Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330)","4/9",0.000998657191058148,0.0191131890177518,0,0,13.4665477252453,93.0417112913167,"DUSP5;DUSP2;DUSP10;DUSP6","MF","Down",0.444444444444444,0.0191131890177518,4
"Adenyl Nucleotide Binding (GO:0030554)","7/31",0.00139726852083189,0.0260194056987344,0,0,4.91789654144305,32.3264946136015,"BDH2;HPGD;ALDH1B1;ALDH2;CAT;DPYD;SORD","MF","Down",0.225806451612903,0.0260194056987344,7
"Amyloid-Beta Binding (GO:0001540)","12/79",0.00147392056842271,0.0267245071485065,0,0,3.02659210685119,19.7328641247498,"BCHE;NGFR;MARCO;COL25A1;APOA1;LILRB1;ADRB2;FPR2;FCGR2B;TLR4;LDLR;SORL1","MF","Down",0.151898734177215,0.0267245071485065,12
"Arylesterase Activity (GO:0004064)","3/5",0.0016292104629993,0.0287827181796542,0,0,25.2312834224599,161.976254881347,"PON3;CA2;PON1","MF","Down",0.6,0.0287827181796542,3
"Cholesterol Binding (GO:0015485)","9/50",0.00169552015085001,0.0292053345983915,0,0,3.70456333595594,23.6342461470636,"GRAMD1C;CETP;STARD5;SCP2;CD81;APOF;ERLIN1;APOA1;APOC3","MF","Down",0.18,0.0292053345983915,9
"Carboxylic Acid Binding (GO:0031406)","5/17",0.00195590617452366,0.0328687647377268,0,0,7.01748511904762,43.7673647041875,"MAG;AMBP;AGXT;PCK1;ASS1","MF","Down",0.294117647058824,0.0328687647377268,5
"Complement Receptor Activity (GO:0004875)","4/11",0.00238861305695943,0.0382733580522104,0,0,9.61794316299223,58.0639306024844,"CR1;C5AR1;FPR1;FPR2","MF","Down",0.363636363636364,0.0382733580522104,4
"Monoatomic Cation:Bicarbonate Symporter Activity (GO:0140410)","4/11",0.00238861305695943,0.0382733580522104,0,0,9.61794316299223,58.0639306024844,"SLC4A10;SLC39A5;SLC39A14;SLC4A4","MF","Down",0.363636363636364,0.0382733580522104,4
"Cholesterol Transfer Activity (GO:0120020)","5/18",0.00258394480892634,0.0404622266670511,0,0,6.47733516483517,38.5948003221295,"GRAMD1C;CETP;STARD5;MTTP;APOA1","MF","Down",0.277777777777778,0.0404622266670511,5
"acetyl-CoA C-acyltransferase Activity (GO:0003988)","3/6",0.00312210959225477,0.0467637719361638,0,0,16.8199643493761,97.0385180018314,"ACAA2;SCP2;ACAT1","MF","Down",0.5,0.0467637719361638,3
"fatty-acyl-CoA Synthase Activity (GO:0004321)","3/6",0.00312210959225477,0.0467637719361638,0,0,16.8199643493761,97.0385180018314,"ACSM3;ACSM2A;ACSM5","MF","Down",0.5,0.0467637719361638,3
"Sterol Transfer Activity (GO:0120015)","5/19",0.0033461644787711,0.0490533473590061,0,0,6.01434948979592,34.2814343630823,"GRAMD1C;CETP;STARD5;MTTP;APOA1","MF","Down",0.263157894736842,0.0490533473590061,5
